Apoapsis,150km ,Inc,0
 
MET,Mode,dV,TWR,Throttle,Pitch,Q,Alt,Apoapsis,Eta:apo,Periapsis,Circ dV,Stage,Staging,Runmode,Parts
51.9,0,1670.71,2.4,0.88,54.02,26.99,8606.8,13870.31,34.01,-591307.72,0,1,False,2,18,
52.48,0,1658.09,2.41,0.88,53.61,27.02,8781.96,14144.36,34.36,-591056.69,0,1,False,2,18,
53.04,0,1644.95,2.42,0.88,53.21,26.93,8958.61,14421.51,34.7,-590798.02,0,1,False,2,18,
53.6,0,1631.76,2.44,0.88,52.8,26.77,9136.76,14702.06,35.06,-590531.22,0,1,False,2,18,
54.16,0,1618.52,2.45,0.88,52.4,26.61,9316.42,14986.21,35.41,-590255.88,0,1,False,2,18,
54.72,0,1604.75,2.46,0.88,52,26.44,9497.6,15274.16,35.78,-589971.58,0,1,False,2,18,
55.28,0,1591.87,2.48,0.88,51.59,26.27,9680.31,15566.1,36.14,-589677.91,0,1,False,2,18,
55.84,0,1578.47,2.49,0.88,51.19,26.1,9864.59,15862.25,36.52,-589374.41,0,1,False,2,18,
56.4,0,1564.53,2.5,0.88,50.79,25.92,10050.44,16162.82,36.9,-589060.6,0,1,False,2,18,
56.96,0,1551.5,2.51,0.88,50.39,25.74,10237.88,16468.06,37.29,-588735.95,0,1,False,2,18,
57.52,0,1537.45,2.53,0.88,50,25.56,10426.95,16778.21,37.69,-588399.91,0,1,False,2,18,
58.08,0,1524.31,2.54,0.88,49.6,25.38,10617.67,17093.52,38.09,-588051.93,0,1,False,2,18,
58.64,0,1510.63,2.55,0.88,49.2,25.2,10810.05,17414.24,38.51,-587691.4,0,1,False,2,18,
59.2,0,1496.89,2.57,0.88,48.8,25.01,11004.15,17740.61,38.93,-587317.72,0,1,False,2,18,
59.76,0,1482.61,2.58,0.88,48.41,24.83,11199.98,18072.88,39.37,-586930.27,0,1,False,2,18,
60.34,0,1467.76,2.59,0.88,47.98,24.63,11411.75,18435.67,39.84,-586499.1,0,1,False,2,18,
60.9,0,1453.85,2.61,0.88,47.59,24.44,11611.28,18780.91,40.3,-586081.19,0,1,False,2,18,
61.48,0,1439.87,2.62,0.88,47.19,24.24,11812.64,19132.73,40.77,-585647.5,0,1,False,2,18,
62.04,0,1425.84,2.64,0.88,46.8,24.05,12015.88,19491.32,41.25,-585197.39,0,1,False,2,18,
62.58,0,1411.75,2.65,0.88,46.4,23.85,12221.02,19856.84,41.74,-584730.26,0,1,False,2,18,
63.16,0,1397.59,2.66,0.88,46,23.65,12428.1,20229.41,42.25,-584245.55,0,1,False,2,18,
63.72,0,1383.38,2.68,0.88,45.61,23.45,12637.15,20609.09,42.76,-583742.75,0,1,False,2,18,
64.28,0,1369.1,2.69,0.88,45.21,23.24,12848.2,20995.63,43.29,-583221.76,0,1,False,2,18,
64.84,0,1354.77,2.71,0.88,44.82,23.02,13061.27,21388.64,43.83,-582682.63,0,1,False,2,18,
65.4,0,1340.37,2.72,0.88,44.42,22.8,13276.39,21788.02,44.38,-582125.07,0,1,False,2,18,
65.96,0,1325.91,2.74,0.88,44.02,22.57,13493.56,22193.69,44.93,-581548.7,0,1,False,2,18,
66.52,0,1311.38,2.75,0.88,43.63,22.33,13712.81,22605.52,45.49,-580953.18,0,1,False,2,18,
67.08,0,1296.79,2.77,0.88,43.23,22.08,13934.13,23023.36,46.07,-580338.25,0,1,False,2,18,
67.64,0,1282.14,2.78,0.88,42.83,21.82,14157.53,23447.01,46.65,-579703.68,0,1,False,2,18,
68.2,0,1267.42,2.8,0.88,42.43,21.55,14383.02,23876.23,47.23,-579049.31,0,1,False,2,18,
68.76,0,1252.64,2.81,0.88,42.04,21.27,14610.59,24310.83,47.82,-578374.86,0,1,False,2,18,
69.3,0,1237.79,2.83,0.88,41.64,20.98,14840.25,24750.86,48.42,-577679.76,0,1,False,2,18,
69.88,0,1222.87,2.84,0.88,41.24,20.68,15071.99,25196.34,49.03,-576963.39,0,1,False,2,18,
70.44,0,1207.89,2.86,0.88,40.84,20.37,15305.79,25647.33,49.64,-576225.09,0,1,False,2,18,
71,0,1192.83,2.87,0.88,40.44,20.06,15541.67,26103.87,50.26,-575464.21,0,1,False,2,18,
71.56,0,1177.71,2.89,0.88,40.04,19.74,15779.62,26566.02,50.89,-574680.05,0,1,False,2,18,
72.1,0,1162.52,2.91,0.88,39.63,19.42,16019.63,27033.83,51.52,-573871.9,0,1,False,2,18,
72.68,0,1147.81,2.92,0.88,39.23,19.07,16261.69,27507.38,52.16,-573038.98,0,1,False,2,18,
73.24,0,1132.48,2.94,0.88,38.83,18.7,16505.81,27986.79,52.81,-572180.44,0,1,False,2,18,
73.8,0,1117.08,2.95,0.88,38.43,18.34,16751.97,28472.14,53.47,-571295.49,0,1,False,2,18,
74.36,0,1101.05,2.97,0.88,38.03,17.97,17000.17,28963.48,54.14,-570383.31,0,1,False,2,18,
74.92,0,1086.06,2.99,0.88,37.63,17.6,17250.41,29460.9,54.81,-569443.06,0,1,False,2,18,
75.5,0,1069.33,3.01,0.88,37.21,17.22,17511.73,29982.57,55.52,-568438.71,0,1,False,2,18,
76.06,0,1053.68,3.01,0.87,36.81,16.85,17766.09,30490.56,56.21,-567442.61,0,1,False,2,18,
76.62,0,1038.06,3.01,0.87,36.41,16.47,18022.43,31001.45,56.9,-566422.51,0,1,False,2,18,
77.18,0,1022.44,3.01,0.86,36,16.09,18280.71,31515.14,57.6,-565377.86,0,1,False,2,18,
77.74,0,1006.84,3.01,0.86,35.6,15.71,18540.91,32031.6,58.29,-564308.19,0,1,False,2,18,
78.28,0,991.26,3.01,0.85,35.2,15.34,18802.97,32550.8,58.99,-563213.03,0,1,False,2,18,
78.86,0,975.69,3.01,0.85,34.79,14.96,19066.88,33072.68,59.69,-562091.87,0,1,False,2,18,
79.4,0,960.14,3.01,0.84,34.39,14.59,19332.58,33597.19,60.39,-560944.21,0,1,False,2,18,
79.96,0,944.6,3.01,0.84,33.99,14.22,19600.05,34124.28,61.09,-559769.55,0,1,False,2,18,
80.54,0,929.08,3.01,0.83,33.59,13.85,19869.24,34653.91,61.8,-558567.38,0,1,False,2,18,
81.08,0,913.58,3.01,0.83,33.19,13.48,20140.12,35186.05,62.51,-557337.17,0,1,False,2,18,
81.64,0,898.08,3.01,0.82,32.78,13.12,20412.66,35720.66,63.22,-556078.41,0,1,False,2,18,
82.22,0,882.61,3.01,0.82,32.38,12.76,20686.82,36257.71,63.94,-554790.54,0,1,False,2,18,
82.76,0,867.14,3.01,0.82,31.98,12.41,20962.56,36797.19,64.66,-553473.04,0,1,False,2,18,
83.34,0,851.7,3.01,0.81,31.58,12.05,21239.85,37339.08,65.38,-552125.3,0,1,False,2,18,
83.9,0,836.27,3.01,0.81,31.18,11.7,21518.64,37883.4,66.11,-550746.77,0,1,False,2,18,
84.46,0,820.85,3.01,0.8,30.78,11.36,21798.92,38430.15,66.85,-549336.83,0,1,False,2,18,
85.02,0,805.45,3.01,0.8,30.38,11.01,22080.63,38979.33,67.58,-547894.89,0,1,False,2,18,
85.58,0,790.06,3.01,0.79,29.98,10.67,22363.75,39530.96,68.33,-546420.37,0,1,False,2,18,
86.12,0,774.69,3.01,0.79,29.59,10.34,22648.24,40085.03,69.07,-544912.67,0,1,False,2,18,
86.7,0,759.34,3.01,0.78,29.19,10.01,22934.07,40641.57,69.83,-543371.18,0,1,False,2,18,
87.26,0,744,3.01,0.78,28.79,9.69,23221.2,41200.58,70.59,-541795.32,0,1,False,2,18,
87.8,0,728.67,3.01,0.77,28.4,9.38,23509.6,41762.07,71.36,-540184.48,0,1,False,2,18,
88.38,0,713.36,3.01,0.77,28,9.07,23799.24,42326.06,72.13,-538538.06,0,1,False,2,18,
88.94,0,698.06,3.01,0.77,27.61,8.78,24090.08,42892.55,72.91,-536855.47,0,1,False,2,18,
89.48,0,682.78,3.01,0.76,27.22,8.49,24382.08,43461.58,73.7,-535136.09,0,1,False,2,18,
90.06,0,667.52,3.01,0.76,26.83,8.21,24675.22,44033.15,74.5,-533379.33,0,1,False,2,18,
90.6,0,652.27,3.01,0.75,26.43,7.94,24969.47,44607.28,75.3,-531584.56,0,1,False,2,18,
91.18,0,637.03,3.01,0.75,26.04,7.67,25264.78,45184.01,76.11,-529751.19,0,1,False,2,18,
91.72,0,621.81,3.01,0.75,25.66,7.42,25561.13,45763.35,76.94,-527878.57,0,1,False,2,18,
92.28,0,606.61,3.01,0.74,25.27,7.17,25858.47,46345.37,77.77,-525966.04,0,1,False,2,18,
92.86,0,591.42,3.01,0.74,24.88,6.91,26156.79,46930.23,78.61,-524012.68,0,1,False,2,18,
93.42,0,576.24,3.01,0.73,24.49,6.65,26456.05,47518.05,79.46,-522017.76,0,1,False,2,18,
93.96,0,561.08,3.01,0.73,24.11,6.41,26756.22,48108.88,80.32,-519980.55,0,1,False,2,18,
94.54,0,545.93,3.01,0.72,23.73,6.17,27057.26,48702.83,81.2,-517900.34,0,1,False,2,18,
95.1,0,530.8,3.01,0.72,23.34,5.93,27359.15,49299.99,82.08,-515776.36,0,1,False,2,18,
