Apoapsis,150km ,Inc,0
 
MET,Mode,dV,TWR,Throttle,Pitch,Q,Alt,Apoapsis,Eta:apo,Periapsis,Circ dV,Stage,Staging,Runmode,Parts
116.56,0,522.63,2.74,1,8.64,1.13,40177.54,76631.22,129.32,-408627.03,0,1,False,2,12,
117.16,0,508.86,2.75,1,8.31,1.1,40507.78,77411.88,131.09,-404545.27,0,1,False,2,12,
117.74,0,495.04,2.77,1,7.98,1.06,40837.56,78208.13,132.92,-400370.49,0,1,False,2,12,
118.32,0,481.16,2.78,1,7.65,1.02,41166.87,79020.94,134.82,-396100.33,0,1,False,2,12,
118.9,0,467.22,2.8,1,7.32,0.99,41495.69,79851.28,136.79,-391732.46,0,1,False,2,12,
119.48,0,453.22,2.81,1,7,0.96,41824,80700.23,138.84,-387264.43,0,1,False,2,12,
120.06,0,439.16,2.83,1,6.67,0.93,42151.79,81569.04,140.98,-382693.67,0,1,False,2,12,
120.56,0,427,2.84,1,6.39,0.9,42433.95,82334.66,142.89,-378668.76,0,1,False,2,12,
121.14,0,412.83,2.85,1,6.07,0.87,42760.73,83244.77,145.19,-373899.87,0,1,False,2,12,
121.72,0,398.6,2.87,1,5.74,0.85,43086.96,84178.12,147.6,-369020.28,0,1,False,2,12,
122.3,0,384.31,2.89,1,5.42,0.82,43412.61,85137.12,150.11,-364027.48,0,1,False,2,12,
122.86,0,369.95,2.9,1,5.1,0.79,43737.66,86123.65,152.73,-358918.64,0,1,False,2,12,
123.46,0,355.54,2.92,1,4.79,0.76,44062.11,87137.75,155.47,-353690.23,0,1,False,2,12,
124.04,0,341.06,2.93,1,4.62,0.74,44385.96,88180.65,158.33,-348338.96,0,1,False,2,12,
124.62,0,326.52,2.95,1,4.58,0.71,44709.21,89270.34,161.36,-342867.01,0,1,False,2,12,
125.2,0,311.91,2.96,1,4.58,0.69,45031.88,90412.77,164.56,-337272.56,0,1,False,2,12,
125.78,0,297.24,2.98,1,4.61,0.67,45354,91610.89,167.95,-331552.71,0,1,False,2,12,
126.36,0,282.51,3,1,4.63,0.65,45675.6,92868.81,171.54,-325704.93,0,1,False,2,12,
126.94,0,267.2,3,1,4.67,0.62,45996.72,94190.27,175.35,-319732.02,0,1,False,2,12,
127.5,0,252.42,3,0.99,4.7,0.6,46317.41,95574.55,179.36,-313657,0,1,False,2,12,
128.1,0,237.64,3,0.99,4.74,0.58,46637.68,97025.31,183.6,-307483.08,0,1,False,2,12,
128.68,0,222.88,3,0.98,4.77,0.56,46957.59,98547.32,188.07,-301210.22,0,1,False,2,12,
129.24,0,208.14,3,0.98,4.8,0.54,47277.15,100145.73,192.8,-294838.63,0,1,False,2,12,
129.84,0,193.41,3,0.97,4.83,0.52,47596.42,101826.16,197.79,-288368.77,0,1,False,2,12,
130.42,0,178.69,3,0.97,4.86,0.51,47915.41,103594.74,203.07,-281801.4,0,1,False,2,12,
130.98,0,163.99,3,0.96,4.88,0.49,48234.17,105458.19,208.65,-275137.64,0,1,False,2,12,
131.58,0,149.3,3,0.95,4.9,0.47,48552.73,107423.87,214.56,-268379,0,1,False,2,12,
132.16,0,134.63,3,0.95,4.92,0.46,48871.13,109499.86,220.83,-261527.45,0,1,False,2,12,
132.76,0,118.96,3,0.94,4.94,0.44,49211.33,111849.25,227.94,-254102.34,0,1,False,2,12,
133.26,0,106.33,3,0.94,5.33,0.42,49485.64,113802.2,233.92,-248020.09,0,1,False,2,12,
133.76,0,93.72,3,0.94,6.64,0.41,49760.06,115903.29,240.3,-241893.78,0,1,False,2,12,
134.28,0,81.11,3,0.93,8.39,0.4,50034.67,118233.17,247.21,-235766.38,0,1,False,2,12,
134.8,0,68.03,2.99,0.92,10.45,0.38,50331.68,120994.69,255.26,-229161.53,0,1,False,2,12,
135.32,0,55.61,2.94,0.9,12.42,0.37,50607.32,123762.41,263.15,-223155.67,0,1,False,2,12,
135.98,0,39.58,2.86,0.87,14.96,0.35,50972.42,127719.6,274.15,-215480.99,0,1,False,2,12,
136.48,0,27.26,2.8,0.85,16.2,0.34,51250.14,130956.32,282.91,-209904.21,0,1,False,2,12,
137.12,0,12.5,2.72,0.82,16.81,0.33,51618.4,135380.79,294.76,-202729.57,0,1,False,2,12,
137.64,0,1.28,2.67,0.8,17,0.32,51898.74,138830.83,303.93,-197424.84,0,1,False,2,12,
138.16,0,0,0,0.01,17.15,0.3,52201.92,138940.08,303.7,-197259.97,0,1,True,2,12,
138.76,0,0,0,0.01,17.17,0.28,52527.05,139049.97,303.39,-197134.81,0,2,True,2,8,
139.36,0,0,0,0.01,17.15,0.27,52873.99,139030.29,302.72,-197164.86,0,2,True,2,8,
140,0,0,0,0.01,17.08,0.25,53220.28,139011.68,302.04,-197193.42,0,2,True,2,8,
140.62,0,0,0,0.01,17,0.24,53565.92,138994.1,301.37,-197220.56,0,2,True,2,8,
141.24,0,0,0,0.01,16.91,0.22,53910.9,138977.49,300.71,-197246.32,0,2,True,2,8,
141.84,0,0,0,0.01,16.84,0.21,54255.23,138961.8,300.04,-197270.79,0,2,True,2,8,
142.48,0,582.6,0,0.01,16.76,0.2,54598.91,138946.98,299.38,-197294.02,0,2,True,2,8,
143,0,582.55,0.04,0.12,16.71,0.19,54886.65,138954.19,298.88,-197282.67,0,2,True,2,8,
143.6,0,582.17,0.11,0.32,16.64,0.18,55229.17,139060.17,298.56,-197115.19,0,2,False,2,8,
144.24,0,581.42,0.18,0.53,15.2,0.17,55571.11,139290.18,298.58,-196782.52,0,2,False,2,8,
144.86,0,580.31,0.26,0.74,10.64,0.16,55912.49,139615.74,298.9,-196252.28,0,2,False,2,8,
145.48,0,578.82,0.33,0.94,6.85,0.15,56253.38,139995.22,299.46,-195495.17,0,2,False,2,8,
146.04,0,577.22,0.35,1,5.4,0.14,56560.87,140391.8,300.16,-194677.3,0,2,False,2,8,
146.56,0,575.72,0.35,1,4.86,0.13,56846.01,140766.31,300.83,-193907.97,0,2,False,2,8,
147.08,0,574.22,0.35,1,4.56,0.13,57130.77,141142.74,301.5,-193136.57,0,2,False,2,8,
147.6,0,572.72,0.35,1,4.32,0.12,57415.14,141519.66,302.18,-192362.43,0,2,False,2,8,
148.12,0,571.22,0.35,1,4.15,0.12,57699.13,141896.99,302.86,-191585.49,0,2,False,2,8,
148.64,0,569.71,0.35,1,4.06,0.11,57982.74,142275.38,303.55,-190806.06,0,2,False,2,8,
149.16,0,568.21,0.35,1,4.03,0.1,58265.96,142655.52,304.24,-190024.46,0,2,False,2,8,
149.68,0,566.71,0.35,1,4.05,0.1,58548.79,143037.85,304.94,-189240.89,0,2,False,2,8,
150.2,0,565.2,0.35,1,4.09,0.09,58831.25,143422.59,305.65,-188455.49,0,2,False,2,8,
150.8,0,563.47,0.35,1,4.16,0.09,59156.69,143869.62,306.48,-187547.09,0,2,False,2,8,
151.38,0,561.79,0.35,1,4.24,0.08,59470.8,144305.01,307.3,-186666.89,0,2,False,2,8,
151.96,0,560.11,0.36,1,4.32,0.08,59784.46,144743.63,308.12,-185784.73,0,2,False,2,8,
152.52,0,558.43,0.36,1,4.39,0.07,60097.66,145185.46,308.95,-184900.64,0,2,False,2,8,
153.12,0,556.74,0.36,1,4.47,0.07,60410.4,145630.48,309.79,-184014.68,0,2,False,2,8,
153.7,0,555.06,0.36,1,4.54,0.06,60722.7,146078.64,310.65,-183126.85,0,2,False,2,8,
154.28,0,553.32,0.36,1,4.6,0.06,61045.29,146547.84,311.55,-182202.57,0,2,False,2,6,
154.86,0,551.7,0.36,1,4.65,0.06,61345.96,146989.56,312.4,-181335.94,0,2,False,2,6,
155.42,0,550.07,0.36,1,4.7,0.05,61646.22,147434.12,313.26,-180467.6,0,2,False,2,6,
155.98,0,548.45,0.36,1,4.74,0.05,61946.07,147881.54,314.13,-179597.57,0,2,False,2,6,
